Text,Predicted Label,Probability,True Label,Example Text for True Label
زہدوتقویٰ جداں کہ مذکورہ خط تو‏ں وی معلوم ہُندا اے، انہاں دا خاص وصف سی، اک شاگرد نے انہاں تو‏ں اک دن کہیا کہ لوگاں وچ آپ دا اِنّا چرچا اے تے آپ رات کوسوندے رہندے نيں، بولے چپ رہو!,aln,0.9998307,sqi,Ne fakt sa e lëshova telefonin me të.
جورجين شوارتز من مواليد يوم 12 ابريل سنة 1854 فى امستردام.,nld,0.9997261,lim,De latex weurt vervolges gefilterd en verdónd mit water.
N’a sɔrɔla sagolasɔnni don  dilibaga tɛ kuma nin cogo in na. wa ni diyagoya don  a na kɛ hadamadenya taabolo ka diyagoya ye bawo delikɛla b’a yɛrɛ ye dilibaga duguma waati bɛɛ.,est,0.9993506,ekk,Järves on kaks saart  kokku pindala 0 08 ha.
Tru ho hev trutna fast i Stolom?,dyu,0.9992518,bam,Aw ye taa aw ɲɛ lajɛ kabini aw ka yeli bɛ dɔgɔya sufɛ.
Sta chiese pure ca ha stat fatt in stile romaniche  jndr'à certe cose pare ca ète na chiese goteco.,sat,0.99913424,div,މާކިން ބައްޕަ ކުރިމަތީ އިށީންދެ ޓީވީއަށް ނަޒަރު ހުއްޓާލައިގެން އިންދާ ބައްޕަ ޓީވީގެ އަޑު މަޑުކޮށްލިއެވެ.
Dy mennick ta cuir heese j'ee gra dy row ee ny Cornisheyr un-çhengaghyn jerrinagh  t'eh shen  y dooiney jerrinagh lesh y Chornish agh gyn y Vaarle  agh t'eh shen ayns contraartys rish e coontey urree hene  myr va recortyssit ec Daines Barrington.,nld,0.99911493,afr,Om meer te sien Silhouette Modelle kliek hier: Silhouette
Alla statliga instanser är tvungna att följa grundlagen.,srp,0.9986777,hbs,Како пише Велт  немачка организација Про асил која помаже избеглицама такође је упозорила на „прљав посао на рачун људских права“. Споразим с Турском постаће знак подршке „нехуманој политици“ Ердофана и „моралног банкротства“ Европе  изјавили су чланови ове организације.
Зубайд ал Ямоний айтадилар: ”Мен ҳар бир нарсада ниятим бўлишини яхши кўраман ҳатто ейиш – ичишда ҳам”.,dan,0.99859935,lat,Jane Laffort fille de Joseph Laffort et d' Angelique Gogiash est nil le 2 Fevrier 1887 fiel baptiste le 13 Febier 1887. Parrain-Pierre Gogioth  Marraine-Sussime Neveu. sign J. F. Chambers. s.j.
Rice served on the staff o the Naitional Security Cooncil an as Assistant Secretary o State for African Affairs durin Preses Bill Clinton 's seicont term.,meu,0.9984976,hmo,Badina be haida ese umui emui orea dekenai hunia dala dekenai idia vareai vadaeni. Gunaguna Buka Helaga ia gwau unai bamona taudia be Dirava ena Kota dekenai edia kerere davana do idia davaria momokani. Idia ese Dirava idia negea. Idia ese Dirava ena hariharibada idia hadibaia kerere  edia lebulebu karadia do idia karaia diba totona. Inai taudia ese iseda Lohiabada Iesu Keriso  iseda Biaguna tamona  idia negea vadaeni.
Алишер Усмонов олий мукофот билан тақдирланди – PROTODAY.,hye,0.9980356,hyw,Mequinenza. Մեքինենցա (իսպ. ՝ Mequinenza)  համայնք Իսպանիայում  Արագոնա նահանգի Սարագոսա գավառում: Մունիցիպալիտետը պատկանում է Ստորին Սինկայի շրջանին  որը գտնվում է նահանգի ծայրամասային արևելքում  սահմանակից է Ուեսկա և Լլեյդա քաղաքներին  Էբրո  Սինկա և Սեգրե գետերի միախառնման վայրում:.
लक्षण देखिएका मानिसको रेडियोग्राफमा विशेषतागत तस्विर लिने सुविधा र कम्प्युटेड टोमोग्राफी (CT) मा एसिमेट्रिक पेरिफेरल ग्राउन्ड ग्लास ओप्यासिटिज र एब्सेन्ट प्ल्युरल इफ्युजन्स समावेश हुन्छन्।,jav,0.99778557,pam,Pangeran Djakalan  kang sinebat  Pangeran Sedanglaoetan  kang sirane hing Moendoe lan Iboeneki  Rarapi pon ning  kana  boja wonten tadakaning woeri  doepi kang mrenah hing tedakanira  poenika kang mijos  saking Padjadjaran waoe.
“Lubusang winasak” ng Israel ang kalaban hanggang “walang natira.”,tuk,0.9976132,tat,Tatar İrekle Entsiklopediäse - Wikipediädä kirill häm latin älifbalarında yazuı röxsät itelä.
Pipash paipaj cuerpotallataca na millanayachinllu . Ashtahuangarin aliguta micushpa alichirinatami yachan . Shinallatami tandanajuj crijcunatapash   Cristoca cuidashpa charijun .,tat,0.9973628,bak,Һырттың атамаһы Ҡырым татарҙары теленән туранан-тура тәржемәләгәндә тау түбәһе  ә мәғәнәһе буйынса тауҙар тамамланған урын тигәнде аңлата.
De buutneirdsche zulln ton ôver uus stelsel spreek'n van 't twoalfdêlig stelsel naar unne norm.,nld,0.99706906,sco,Rice served on the staff o the Naitional Security Cooncil an as Assistant Secretary o State for African Affairs durin Preses Bill Clinton 's seicont term.
San Giovani in Marignan el xe on comune de 8 015 abitanti 'nte ła provincia de Rimini.,sat,0.9967867,div,މާކިން ބައްޕަ ކުރިމަތީ އިށީންދެ ޓީވީއަށް ނަޒަރު ހުއްޓާލައިގެން އިންދާ ބައްޕަ ޓީވީގެ އަޑު މަޑުކޮށްލިއެވެ.
It-tneħħija totali tas-serum ta' amoxicillin inaqqas b'mod proporzjonali mat-tnaqqis fil-funzjoni tal-kliewi (ara sezzjoni 4.2 u 4.4),ayr,0.9967764,aym,Bactrocera abbreviata ch'iwi (Insecta)  orden chhichhillanka (Diptera).
וַיֹּאמֶר מֹשֶׁה אִכְלֻהוּ הַיּוֹם כִּי־שַׁבָּת הַיּוֹם לַיהוָה הַיּוֹם לֹא תִמְצָאֻהוּ בַּשָּׂדֶה.,bew,0.99620265,bel,А на яблыкі ў мяне алергія.
DAAWO SAWIRADA Shirkii New Deal oo Muqdisho ku soo dhamaaday,srp,0.99597305,hbs,Како пише Велт  немачка организација Про асил која помаже избеглицама такође је упозорила на „прљав посао на рачун људских права“. Споразим с Турском постаће знак подршке „нехуманој политици“ Ердофана и „моралног банкротства“ Европе  изјавили су чланови ове организације.
Азиатки тийнейджъри сладъл уста got stuffed HardSexTube 12:21,est,0.99587554,ekk,Järves on kaks saart  kokku pindala 0 08 ha.
De nakomelingen van deze Edelen hebben later de stamnaam van Eversdijk aangenomen  welke naam onderscheidene malen op de regeringslijsten der stad Goes te vinden is.,smo,0.99581075,tsn,Ka go dirisa thekniki yeo ya phetogonepiso  Lentsoane o rata go bontsha
Suliniummi arloriarnerat aappaat tassaassaaq nalunaarusiornerit ataasiakkaat nalinersorneqar-nissaat kiisalu piginnittut nassaarinissaat.,tgl,0.99561524,fil,Panawagan niya sa pamahalaan na bigyang halaga ang kanilang ipinagkakaloob na serbisyo sa mga mananakay sa halip na paboran at pagsilbihan ang mga mayayamang gumagamit ng pribadong sasakyan.
