Label,precision,recall,f1-score,support
abk,1.0,1.0,1.0,13.0
ace,0.8181818181818182,1.0,0.9,9.0
ach,1.0,0.75,0.8571428571428571,4.0
acm,0.3888888888888889,0.5384615384615384,0.4516129032258064,13.0
acr,1.0,1.0,1.0,17.0
afb,0.4285714285714285,0.3,0.3529411764705882,10.0
afr,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
ahk,1.0,1.0,1.0,16.0
ajp,0.65,0.8125,0.7222222222222222,16.0
aka,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
aln,1.0,1.0,1.0,11.0
als,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
alt,0.9090909090909092,1.0,0.9523809523809524,10.0
amh,1.0,1.0,1.0,14.0
aoj,1.0,1.0,1.0,17.0
apc,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0
ara,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
arb,0.9090909090909092,0.9090909090909092,0.9090909090909092,11.0
arg,0.8636363636363636,1.0,0.926829268292683,19.0
arn,1.0,1.0,1.0,8.0
ary,0.75,0.375,0.5,8.0
arz,1.0,1.0,1.0,12.0
asm,1.0,1.0,1.0,13.0
ast,0.5,0.5,0.5,6.0
aym,0.8571428571428571,0.8,0.8275862068965517,15.0
ayr,0.9047619047619048,1.0,0.95,19.0
azb,1.0,1.0,1.0,18.0
aze,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
azj,0.8571428571428571,0.9230769230769232,0.8888888888888888,13.0
bak,0.8,0.8275862068965517,0.8135593220338984,29.0
bam,1.0,0.8947368421052632,0.9444444444444444,19.0
ban,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
bar,0.6153846153846154,0.6666666666666666,0.64,12.0
bcl,0.6470588235294118,0.5789473684210527,0.6111111111111112,19.0
bel,0.9090909090909092,0.7142857142857143,0.8,14.0
bem,1.0,1.0,1.0,9.0
ber,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
bew,0.85,0.9444444444444444,0.8947368421052632,18.0
bih,1.0,0.8181818181818182,0.9,11.0
bik,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
bis,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
bjn,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
bod,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
bos,0.1333333333333333,0.3333333333333333,0.1904761904761904,6.0
bpy,1.0,1.0,1.0,12.0
bqc,1.0,1.0,1.0,15.0
bre,0.8,0.8,0.8,15.0
bsb,0.8333333333333334,0.9375,0.8823529411764706,16.0
bul,1.0,1.0,1.0,10.0
bzj,1.0,1.0,1.0,14.0
